,LC_name,Autocor_length,Beyond1Std,CAR_sigma,CAR_mean,CAR_tau,Con,LinearTrend,MaxSlope,Mean,Meanvariance,MedianAbsDev,MedianBRP,PairSlopeTrend,PercentAmplitude,Q31,Rcs,Skew,SlottedA_length,SmallKurtosis,Std,StetsonK_AC
14,exampledata_44.ascii,103.0,0.41735537190082644,10.0,117667.39254812397,0.5,0.0,-0.05179542482529586,150284.50011565414,58833.696274061986,1.5579248211217782e-06,0.07618150000052992,0.23140495867768596,0.9666666666666667,2.929622032533532e-06,0.15279849999933504,0.42713925996953545,-0.0825497005926812,1.0,-1.1203480272245934,0.09165847574370105,0.8469383153836896
15,exampledata_46.ascii,124.0,0.4007029876977153,10.0,117667.37620133568,0.5,0.0,-0.14865557483587333,inf,58833.68810066784,1.5938676250694267e-06,0.08147400000598282,0.19859402460456943,0.9666666666666667,2.7623629619212803e-06,0.16262199999619043,0.43325426200791006,0.004900771038062205,0.0,-1.196716921440833,0.09377311072708684,0.0
16,exampledata_7.ascii,111.0,0.4107142857142857,10.0,117667.39850494047,0.5,0.0,-0.08712929594828174,inf,58833.69925247024,1.5061752957090256e-06,0.07591150000007474,0.19047619047619047,0.9666666666666667,2.7233798012577254e-06,0.15153224999812664,0.43439312739514724,-0.022980766794677285,1.0,-1.1722021585525626,0.08861386436924523,1.0
17,exampledata_62.ascii,125.0,0.4105263157894737,10.0,117667.37648286665,0.5,0.0,-0.4352042641872576,263103.99972737895,58833.68824143332,1.5934912576761697e-06,0.08131099999809521,0.19824561403508772,0.9666666666666667,2.7575272837000535e-06,0.1623407499937457,0.43334705836919707,0.001490981310478565,1.0,-1.1972733490992156,0.09375096786956927,1.0
18,exampledata_27.ascii,96.0,0.4230769230769231,10.0,117667.40220646605,0.5,0.0,-1.0708961470464027,27188.999972413178,58833.70110323303,1.6100893622088339e-06,0.08043700000052922,0.19230769230769232,0.9666666666666667,3.055697351509876e-06,0.16144299999723444,0.4329040824000347,-0.18304067902863747,0.0,-1.1853471254043726,0.09472751628568962,0.0
19,exampledata_41.ascii,123.0,0.4067495559502664,10.0,117667.37937360923,0.5,0.0,-0.11848786094871129,124706.9998708411,58833.68968680462,1.587000042892523e-06,0.0805739999996149,0.20071047957371227,0.9666666666666667,2.782147438003945e-06,0.16091650000453228,0.43273797249378015,-0.016281882051389796,0.0,-1.1870649957512418,0.09336906805648432,1.0
20,exampledata_39.ascii,123.0,0.4103019538188277,10.0,117667.37775527177,0.5,0.0,0.23108893571415834,124706.9998708411,58833.68887763588,1.598119577535916e-06,0.08170300000347197,0.19715808170515098,0.9666666666666667,2.7725951144534517e-06,0.16319550000480376,0.43367488875584986,-0.012428276417648933,0.0,-1.202532225459848,0.09402327001400698,0.0
21,exampledata_58.ascii,124.0,0.4112478031634446,10.0,117667.3767210123,0.5,0.0,-0.5141258269436152,inf,58833.68836050615,1.5941587682608716e-06,0.08148899999650894,0.19859402460456943,0.9666666666666667,2.7532525085992187e-06,0.16262199999619043,0.4332914601480006,-0.0016544660559543493,0.0,-1.1976011185274185,0.09379024016902847,0.0
22,exampledata_20.ascii,125.0,0.4200351493848858,10.0,117667.37650869244,0.5,0.0,-0.2775878229194775,inf,58833.68825434622,1.5948822904305948e-06,0.08148899999650894,0.1968365553602812,0.9666666666666667,2.7532525085992187e-06,0.16262199999619043,0.4336611003191969,0.0010776927269496228,1.0,-1.2004142448622233,0.09383280747757128,1.0
23,exampledata_65.ascii,114.0,0.41904761904761906,10.0,117667.38498704763,0.5,0.0,-0.26117573142679507,191646.9998026432,58833.69249352381,1.593927382653926e-06,0.08109899999544723,0.20761904761904762,0.9666666666666667,2.8407361515235525e-06,0.16143999999621883,0.4319871069174436,-0.04394249897648395,1.0,-1.189922602690892,0.09377663348806835,1.0
