,LC_name,Amplitudes,amp1,amp_2_1_ratio,amp_3_1_ratio
44,exampledata_17.ascii,0.0877075000000005,13706.144523,0.00028469004224899904,0.0004695949368212528
45,exampledata_33.ascii,0.1481899999999996,13745.826810999999,0.00041484790933896706,0.0011433590798284614
46,exampledata_37.ascii,0.051474000000000686,13797.590054999997,0.0001683993071653142,9.480915698351343e-05
47,exampledata_56.ascii,0.06584450000000075,13880.384449999998,0.00012783790024249286,0.0001090228463792083
48,exampledata_13.ascii,0.0760714999999994,13431.980607999996,0.00024495529085374917,0.0001406833042107589
49,exampledata_69.ascii,0.07830399999999926,14096.384211,0.00022085331743126524,0.00014086743447249957
50,exampledata_54.ascii,0.06912749999999868,13869.936225,0.00017381743640496213,2.4472165461156256e-05
51,exampledata_11.ascii,0.09686349999999955,13619.845096000001,0.00019178430342909488,0.0002479381022788549
52,exampledata_70.ascii,0.0619360000000011,14002.580912999998,5.89496725914353e-05,8.059741075824472e-05
53,exampledata_35.ascii,0.07563050000000082,14067.592896999999,1.4872348324728545e-05,3.4257430596825686e-05
54,exampledata_16.ascii,0.0841030000000007,13487.283740000003,0.0011329739445479472,0.00031081807365393867
55,exampledata_53.ascii,0.05919249999999998,13891.171005999997,0.00010792180144705583,7.519015924065306e-05
56,exampledata_32.ascii,0.04044550000000058,13360.040778999999,6.0758994243148874e-05,0.00014392750272409954
57,exampledata_48.ascii,0.08612150000000085,14166.605930999996,0.0001500474727430202,7.235866022371656e-05
58,exampledata_9.ascii,0.0978279999999998,13177.937842,4.647959064953927e-05,0.0002344696068662772
59,exampledata_30.ascii,0.30467450000000085,13881.445779,0.00519628708793713,0.002410195248932511
60,exampledata_14.ascii,0.04293600000000097,13469.642697999998,0.00013714417645719961,0.00010137529669875413
61,exampledata_51.ascii,0.0633499999999998,13979.615667999997,0.00012004897945377282,0.00011341877000447933
62,exampledata_29.ascii,0.1276640000000011,13196.343378,0.00010877992944044703,0.00027236701763274615
63,exampledata_10.ascii,0.23412450000000007,4959.923825,0.0045266892595098715,0.0006657157145283143
64,exampledata_55.ascii,0.0726129999999987,14083.565364999999,0.00010446967470739269,5.783762049792297e-05
65,exampledata_68.ascii,0.1085799999999999,13984.90212,0.00014561084516203417,0.00033615425356241094
66,exampledata_34.ascii,0.1351905000000002,13677.458779,0.002289800164162837,0.0001766577547895396
67,exampledata_36.ascii,0.09471000000000096,14151.926915,0.00015193337774722183,0.00010508935772889778
68,exampledata_12.ascii,0.2613990000000008,13619.226697999997,0.003632315264063453,0.0017472221979788066
69,exampledata_57.ascii,0.06790600000000069,13823.644610999998,0.00015978724851317,0.00010928535843299167
